patent,patent_1,sim_1,patent_2,sim_2,patent_3,sim_3,patent_4,sim_4,patent_5,sim_5,patent_6,sim_6,patent_7,sim_7,patent_8,sim_8,patent_9,sim_9,patent_10,sim_10
5226130,5881278,0.8703225513933484,5933618,0.870016586466466,5625787,0.8698532760709813,5644744,0.8694728672760568,5640526,0.8692216503754044,5875315,0.8691326062407121,5623614,0.8687962697449618,5822559,0.8680957001243432,5864707,0.8680573972746595,5854921,0.8671243021465277
5181364,5598683,0.9635167658693254,5533320,0.9199550694809356,5335477,0.9199084556823411,5526933,0.9197681715674006,5697199,0.9178914223588717,5588530,0.9177579870777227,5632130,0.9175665781913044,5867968,0.91562807895994,5782057,0.9119403251159299,5636493,0.911933862553715
4394443,5689044,0.8474279458901739,5614395,0.8415331108194132,5847258,0.8408598505000837,5851766,0.840560748737245,5856154,0.8403738506721118,5650505,0.84026485998586,5789214,0.8402429703914798,5777200,0.8401917698552747,5880328,0.8401773147168133,5767369,0.8398704068051979
5093914,5845125,0.8691328926540889,5740440,0.842691795890141,5459865,0.8272163363188699,5519862,0.8270607797189693,5434965,0.8262843601390633,5812850,0.8255332856693106,5517606,0.8239323272197892,5315703,0.8236368336059156,5551055,0.8229387168227045,5717877,0.8228518782195405
3773919,4186189,0.8154533552229731,4148871,0.7991520666401708,4351337,0.7838327008682939,4328204,0.774704424723744,3960150,0.769858722635714,3981303,0.769149881264042,3986510,0.7691321528286879,3993071,0.7690331583617623,3976071,0.7678831455531383,5444113,0.7662551628246426
3284393,4078133,0.7727223878165692,4529782,0.7589247544486677,4555346,0.7557198427559103,4010131,0.7530389696277352,4079027,0.7530314813984313,4727110,0.7518945834370138,4452940,0.7517443424647231,4217262,0.7495918743580131,5155156,0.7464886947163707,5250586,0.7461117668002639
4856516,5135536,0.9204204047715464,5116365,0.8936815437115916,5527354,0.8574154825074733,5569295,0.8552787090789808,5649952,0.8551044634965554,5916234,0.8548155605680363,5876445,0.8514843345378973,5662713,0.8510613592249203,5222971,0.8485832698610212,5443498,0.8483718988995617
4798603,5509915,0.892583367570221,5591149,0.8663947993218786,5562650,0.8640790874529507,5810797,0.8568330774061316,5558658,0.8565292499722006,5817394,0.8542188536724235,5439458,0.8515199447840219,5304161,0.8511738748285886,5968855,0.8501589869850438,5429629,0.8497174710577007
3589363,3952732,0.8821559996888013,3942519,0.866330903659785,6007513,0.8659568793263458,4922902,0.8633807059193604,4750488,0.8633711684803509,5334183,0.8631798535724519,4750902,0.8629950328041228,5176677,0.8624934863350814,5722945,0.8572485665705866,4515583,0.8547268281164011
4380635,5994547,0.9048910679802722,5512684,0.8750646566048101,5792870,0.8410396204085165,5466810,0.8406227077585511,5554755,0.8398652418399595,5750688,0.8339351925504461,5631369,0.8337618168259221,5420349,0.8229226909745608,5811421,0.8008865615810054,5843940,0.8001893448372015
2621142,5615534,0.5934114304456217,5111638,0.5910666869850107,5245814,0.5908456016603907,5369934,0.5908065558971788,5388386,0.5907562445057466,5560181,0.5906730353280508,5616381,0.5790805284778655,5616380,0.5790805284778655,5616379,0.5790805284778655,5616378,0.5790805284778655
4305131,4752836,0.7827300571540576,4873585,0.7825747276976469,4475132,0.7799991558631685,4482328,0.7744990654802997,4794465,0.7739887196822607,4630231,0.7699562893328052,5861881,0.7687186646931562,5130966,0.7656521172837206,4573187,0.7647474022524229,5282186,0.7623310913114031
1446563,5402601,0.5948639604453433,5615534,0.5928708421058696,5924241,0.5925762428045104,5976647,0.5911089041455252,5616382,0.591039772723142,5681625,0.5909270189809143,5208027,0.5909044542693793,4773182,0.590891689088561,5622754,0.5908908922861933,5765306,0.5908729951921783
4314827,5164348,0.864930616653019,5551963,0.8457725583041311,5498269,0.8429330506575158,5779743,0.8413782795403433,5776214,0.8392000187376448,5514631,0.8364308069982777,4960441,0.8363469765638798,4623364,0.8361991347002105,5660604,0.8352824320803032,5752996,0.8350020480506267
5572643,5978848,0.8890251018373416,5793966,0.8532128246492159,5884056,0.8459586274686792,5761683,0.8444385450971091,5877757,0.8431126363827015,5802299,0.8422802329207228,5923736,0.8400245367396962,5778367,0.8349451690082443,5734835,0.8347854729750415,5937160,0.8327026324614023
3976982,4454593,0.8078341614584938,4484347,0.7896628551699426,4394693,0.7889639968087504,4631750,0.7846968202357224,4345276,0.7761578547100385,5864407,0.7747513152443599,5008760,0.7746590539332767,4468688,0.7697793616637144,4393453,0.7686625578246049,4985848,0.768264742970973
4771777,5833650,0.9064233815833701,5743875,0.8738197115882829,5496275,0.872829795654211,5195971,0.8661486795665313,5542925,0.8543155679772948,5516336,0.8523479205687382,5921958,0.8518885431561724,5395332,0.8518674122820707,5571087,0.8518116521716462,5490837,0.8494067325881226
4191860,5247571,0.7950150272367551,4310727,0.7777457896330923,5661791,0.7768413851425592,4788718,0.7749081450970184,4737983,0.7729886219811707,5610969,0.77229345317428,5524146,0.7695332482829885,5418844,0.7694392074642458,5761290,0.7679832236266685,5864614,0.767142358952723
4830003,5746765,0.8729834780251519,5540712,0.8729260586468537,5902317,0.8728431175479318,5879382,0.8601713007788826,5800509,0.8597605326367136,5674278,0.8592409439753674,5569295,0.850662057719598,5649952,0.8504533427618701,5916234,0.8502691072738598,5395390,0.8445050007113115
4578079,5147797,0.8242813658247091,4839464,0.8238661181756355,5981468,0.8132005363382208,5985827,0.810738095795692,5880092,0.8096497948603766,5906975,0.8095154690071066,5827821,0.8090308933461768,4879237,0.7995743010361963,5773574,0.7924952164382103,5116368,0.7898956660154579
4555775,5006976,0.6854480432033936,4700181,0.681991779162842,4783648,0.6791852003389963,4890257,0.6784118785951734,5798752,0.6711501123413578,5581670,0.6696154052539318,5799325,0.6695263668104547,5828374,0.6688191032028001,5859638,0.6688152268433768,5950214,0.6679840778028545
4688900,4994204,0.8954772510580673,5240636,0.8951567960522465,5530566,0.88775148683068,5321533,0.8877456532040218,5486940,0.8845019226281018,4890902,0.8775766343640605,5011624,0.8754022912468422,5631665,0.8730507289297061,5216530,0.8705688644398902,5673127,0.866097470052216
2510120,5615534,0.5460666080426745,5560181,0.5458594732413953,5388386,0.5450986905807104,5245814,0.5445115644458591,5111638,0.5441990332762648,5687469,0.5313784843888361,5664675,0.5310962305296169,5816020,0.5298567334883847,5752360,0.5296089511122827,5697199,0.5264349985766127
