,patent
1107,5774738
1108,4953203
1109,4689478
1110,4488228
1111,5840275
1112,5729648
1113,5485102
1114,4935954
1115,4586950
1116,4159259
1117,5908428
1118,5892527
1119,5877782
1120,5418657
1121,5956256
1122,5137508
1123,5844893
1124,4883750
1125,5481432
1126,4344431
1127,5422213
1128,4948870
1129,5139951
1130,5545280
1131,4666595
1132,5726691
1133,5699526
1134,4382057
1135,4958634
1136,5714931
1137,3940363
1138,5652501
1139,5358754
1140,5492803
1141,5685821
1142,4661972
1143,5540677
1144,5306250
1145,5153842
1146,4704113
1147,5011527
1148,5625351
1149,5688174
1150,5857180
1151,5610906
1152,4906230
1153,5666168
1154,5484596
1155,5455459
1156,5800457
1157,5349852
1158,5598427
1159,5404316
1160,5513305
1161,5344561
1162,5086133
1163,4888689
1164,4154776
1165,4407710
1166,4927571
1167,5386277
1168,4291306
1169,5598568
1170,5246690
1171,5391426
1172,5500633
1173,4842578
1174,5098431
1175,5539059
1176,5127910
1177,5868698
1178,5547959
1179,5544295
1180,5025249
1181,4931517
1182,4830003
1183,4879349
1184,5482438
1185,4989063
1186,4578531
1187,5482874
1188,5726838
1189,5458568
1190,5347519
1191,4578057
1192,5121334
1193,4365014
1194,5360545
1195,4747837
1196,5096684
1197,5043606
1198,4711531
1199,5750580
1200,5414782
1201,5024865
1202,3904862
1203,5089209
1204,4381297
1205,5110754
1206,5030531
1207,4472323
1208,4776676
1209,5870761
1210,5617702
1211,4414700
1212,4906828
1213,5807318
1214,4333227
1215,5292239
1216,5500943
1217,5358814
1218,5764992
1219,5335296
1220,5774120
1221,4958292
1222,5248596
1223,4618643
1224,5644348
1225,4755897
1226,5774807
1227,5411483
1228,4490747
1229,4946468
1230,5922575
1231,5874554
1232,5578028
1233,5316791
1234,5817102
1235,5904698
1236,5837221
1237,4225920
1238,5922268
1239,5555466
1240,5573510
1241,4599094
1242,4612383
1243,5175566
1244,5808401
1245,5132012
1246,5458577
1247,5732705
1248,4473413
1249,5832495
1250,5195974
1251,5849881
1252,5097956
1253,5277177
1254,4642789
1255,5095428
1256,5385772
1257,5870541
1258,5376557
1259,5979670
1260,4749393
1261,5528282
1262,4106741
1263,5560023
1264,4752378
1265,5879499
1266,4663720
1267,5442744
1268,5550150
1269,5916883
1270,5735874
1271,5496322
1272,5559395
1273,4690749
1274,5493685
1275,5731393
1276,4932036
1277,4886686
1278,4940525
1279,5553078
1280,5933781
1281,5784712
1282,5501227
1283,5284940
1284,5314798
1285,4592036
1286,5324804
1287,5360402
1288,5376302
1289,5844980
1290,5742791
1291,5937374
1292,5391648
1293,4899009
1294,5830821
1295,4943378
1296,4966727
1297,5661663
1298,4923742
1299,5250411
1300,5834790
1301,5084768
1302,4801999
1303,5219604
1304,5474785
1305,5812932
1306,4690695
1307,5767543
1308,5997125
1309,5475630
1310,4602909
1311,5554239
1312,5212653
1313,4658093
1314,5369767
1315,5475406
1316,4820911
1317,4446232
1318,5676787
1319,5924198
1320,3930522
1321,5721108
1322,5463507
1323,5480422
1324,5795570
1325,5552415
1326,4797543
1327,5186179
1328,4234952
1329,5901323
1330,5272242
1331,5714561
1332,5650807
1333,5688692
1334,5518501
1335,4375091
1336,4963130
1337,5310615
1338,5454985
1339,5053312
1340,5900888
1341,5168444
1342,5160530
1343,5313463
1344,4111765
1345,5948400
1346,5264370
1347,5689560
1348,5978785
1349,4945239
1350,5859653
1351,5471398
1352,5676671
1353,5259721
1354,5691528
1355,5439446
1356,5871474
1357,4817384
1358,4873266
